,parquetFile,fileName,coinTag,pairedCurr,coefVariation,meanC,stdDevC,meanVol
228,requsd.gzip,requsd.csv,req,usd,0.9467182836785744,0.09980779337206545,0.0944898628389476,2729.8725153325017
229,rifusd.gzip,rifusd.csv,rif,usd,0.3655343307085849,0.09520466362093721,0.03480057299701524,4360.777045724433
230,ringxusd.gzip,ringxusd.csv,ringx,usd,,,,
232,rlcusd.gzip,rlcusd.csv,rlc,usd,0.572754319220691,0.962379182299947,0.5512068333903714,537.0442806860618
233,rrbusd.gzip,rrbusd.csv,rrb,usd,0.20608394658025445,1.0813929057489244,0.22285771782062747,510.0788328529448
235,rrtusd.gzip,rrtusd.csv,rrt,usd,0.5519557990860966,0.1468225884595985,0.0810395791371068,3364.39463768628
236,rteusd.gzip,rteusd.csv,rte,usd,0.8592651312815025,0.0035119927635960044,0.0030177329230710076,127856.84798802045
239,sanusd.gzip,sanusd.csv,san,usd,1.0094564006827909,1.6405380560429763,1.6560516412362856,2496.7765515787464
240,scrusd.gzip,scrusd.csv,scr,usd,0.29721578744564586,0.07263679823869035,0.021588803186042855,2263.6158643052245
241,seeusd.gzip,seeusd.csv,see,usd,0.8306451404595415,0.0035152655345174265,0.002919938233671813,78927.82729915471
242,sngusd.gzip,sngusd.csv,sng,usd,0.9060986063194607,0.057697001584678935,0.0522791727246893,118651.86109371994
243,sntusd.gzip,sntusd.csv,snt,usd,0.7121236882308903,0.16588076747258373,0.11812762393914704,8719.933944179971
244,snxusd.gzip,snxusd.csv,snx,usd,0.27708747345848983,4.8552962859659425,1.3453417807706922,11.911185430251516
246,stjusd.gzip,stjusd.csv,stj,usd,0.6279020366358499,0.4410599186738453,0.2769424212137498,574.771280131578
247,sunusd.gzip,sunusd.csv,sun,usd,0.16405310159615236,7.96589900789177,1.3068304392463579,3.4501501185140926
249,swmusd.gzip,swmusd.csv,swm,usd,2.0967790239572768,0.04339125949764521,0.09098188273774944,12570.68298702598
251,testbtctestusd.gzip,testbtctestusd.csv,testbtctest,usd,,,,
253,tknusd.gzip,tknusd.csv,tkn,usd,0.3269041113418237,0.604411956743621,0.19758475360364622,1651.017406444605
254,tnbusd.gzip,tnbusd.csv,tnb,usd,1.2205421135166883,0.02781916553992247,0.033954463104367595,14626.418604873637
255,triusd.gzip,triusd.csv,tri,usd,6.883458401847989,0.003442253792486583,0.02369461078918487,77561.92843420361
